Pasta,Tipo,Arquivo,Texto_Real
Apto_2023-04-22_05-00-33_2023-04-28_05-42-24,Chassi,cropped_422_da4f8a80-24ca-49ef-ba52-05abf028e911.jpg.png,9BD2651JHK9125421
Apto_2023-04-22_05-00-33_2023-04-28_05-42-24,Motor,cropped_422_e3e3c320-cddc-41c9-9c67-896ca534072f.jpg.png,327A0113421213
Apto_2023-04-24_06-45-32_2023-04-24_10-22-03,Chassi,cropped_481_e20e927f-b7cb-4917-a0ec-0bc62c5b1cec.jpg.png,9C2ND1110DR018878
Apto_2023-04-24_06-45-32_2023-04-24_10-22-03,Motor,cropped_481_2bd84f76-b0dd-43f2-8ac7-f7e5a19228ec.jpg.png,ND11E1D018878
Apto_2023-04-24_12-33-33_2023-04-24_13-08-09,Chassi,cropped_553_c9ed6d98-716d-44e9-ae2f-96629e3c08d6.jpg.png,9C2PC42108R500145
Apto_2023-04-24_12-33-33_2023-04-24_13-08-09,Motor,cropped_553_57f26675-5568-43f0-a9ad-0fa02ec6d79b.jpg.png,PC42E8500145
Apto_2023-04-24_13-33-12_2023-04-24_13-54-02,Chassi,cropped_564_b04d8253-8611-4fd3-8e57-402bf79e639d.jpg.png,98ZCLAS01PG003587
Apto_2023-04-25_03-56-20_2023-04-25_04-56-33,Chassi,cropped_567_ed5ccb92-5199-49e2-976d-3d211ddabc22.jpg.png,9BFEXXL38JD69086
Apto_2023-04-25_03-56-20_2023-04-25_04-56-33,Motor,cropped_567_935ea9a9-a2af-469e-b27c-c8adfc5efad2.jpg.png,22904158393
Apto_2023-04-25_06-08-07_2023-04-25_06-53-54,Chassi,cropped_608_6b55104c-0e1a-475f-a52d-d3dcf576eabd.jpg.png,8AJFY22G6D8007663
Apto_2023-04-25_06-08-07_2023-04-25_06-53-54,Motor,cropped_608_cb0a6738-0061-4053-ba98-1710ce62067c.jpg.png,1KDA140567
Apto_2023-04-25_06-58-39_2023-04-25_07-30-10,Chassi,cropped_623_87e32cf0-9a24-4f76-8fc4-79f36f9f91a1.jpg.png,9BWAB41J9D4006591
Apto_2023-04-25_06-58-39_2023-04-25_07-30-10,Motor,cropped_623_f1715f2f-22d5-4476-b9dc-3f4f5596862a.jpg.png,CCRN95621
Apto_2023-04-25_09-47-08_2023-04-26_13-25-55,Chassi,cropped_648_c76d7c5f-ea2f-4ad8-9096-d499810d19a4.jpg.png,9BM345005JB811458
Apto_2023-04-25_09-47-08_2023-04-26_13-25-55,Motor,cropped_648_ae2a5df2-1364-43b3-a669-df71a6e656d0.jpg.png,344919008520487
Apto_2023-04-25_11-08-19_2023-04-25_12-08-01,Chassi,cropped_667_f6953654-9324-4c72-98d0-5e004b8623fd.jpg.png,9BD17122LF7508382
Apto_2023-04-25_11-08-19_2023-04-25_12-08-01,Motor,cropped_667_c131b0f1-1d5f-45e3-b14c-62b29a38dc02.jpg.png,310A10112344971
Apto_2023-04-25_11-37-37_2023-04-26_04-14-02,Chassi,cropped_676_f8cffc5a-5619-4e57-950d-3c26a39917ef.jpg.png,9BG138HU08C436392
Apto_2023-04-25_11-37-37_2023-04-26_04-14-02,Motor,cropped_676_cf4dc6d7-d7a6-4c08-b40b-330a15db4069.jpg.png,N80021738
Apto_2023-04-25_12-26-17_2023-04-26_05-08-34,Chassi,cropped_690_39dc011c-dc00-497f-9708-eb5a1a488ef0.jpg.png,9BWZZZ373WP564123
Apto_2023-04-25_12-26-17_2023-04-26_05-08-34,Motor,cropped_690_6bde30bd-e56b-4500-8d99-57745d03106e.jpg.png,AFZ317430
Apto_2023-04-26_06-12-39_2023-04-26_07-00-00,Chassi,cropped_745_d4ff87ba-0230-46ef-9aed-7fdac769512c.jpg.png,9C2KC2500KR022922
Apto_2023-04-26_06-12-39_2023-04-26_07-00-00,Motor,cropped_745_08611ad2-04ce-453d-adce-e34c399416b6.jpg.png,KC25E0K022935
Apto_2023-04-26_08-40-17_2023-04-26_09-58-28,Chassi,cropped_774_b40decb7-d98d-466e-a231-d53c78838b14.jpg.png,93XJRKB88TACA20894
Apto_2023-04-26_08-40-17_2023-04-26_09-58-28,Motor,cropped_774_e0ddb02a-2eb7-4547-9b55-e2d4fad2ec53.jpg.png,4M41UCAT2776
Apto_2023-04-26_10-35-22_2023-04-26_11-50-57,Chassi,cropped_802_80d52ace-b6e3-4a5e-85b2-c919bf733ee1.jpg.png,9BM979078DS018253
Apto_2023-04-26_10-35-22_2023-04-26_11-50-57,Motor,cropped_802_b92132e1-4eff-419d-9d98-de72f7bcbb23.jpg.png,924990U1078448
Apto_2023-04-26_11-23-48_2023-04-26_12-23-24,Chassi,cropped_816_22f78ab7-53cb-49a0-a90b-8694604d2034.jpg.png,9BD27844PD7647949
Apto_2023-04-26_11-23-48_2023-04-26_12-23-24,Motor,cropped_816_5f5a5f3a-1673-4008-89d8-63c63185c544.jpg.png,370A00112404250
Apto_2023-04-26_12-46-21_2023-04-26_14-12-08,Chassi,cropped_840_31217a47-a771-41b6-a4d6-fe87f5d1a879.jpg.png,9BD15822774912892
Apto_2023-04-26_12-46-21_2023-04-26_14-12-08,Motor,cropped_840_bc13f89c-aea5-4be3-8647-36028ef43874.jpg.png,146E10117304983
Apto_2023-04-26_14-24-34_2023-04-27_03-57-22,Chassi,cropped_846_af07ed7c-beaa-43cd-aaff-20abe1ae689d.jpg.png,8AP17206LB2202640
Apto_2023-04-26_14-24-34_2023-04-27_03-57-22,Motor,cropped_846_42f9f17b-7fce-4b7c-a062-4d5faf3a37c1.jpg.png,310A10110128988
Apto_2023-04-26_14-48-55_2023-04-27_03-55-22,Chassi,cropped_847_417775d8-9aef-4b29-b1a8-ec9e14a8199e.jpg.png,9A91JBJEVDXDF9276
Apto_2023-04-27_04-57-22_2023-04-27_05-43-06,Chassi,cropped_866_ebde44bc-ab84-4c2f-98ae-9210ba570518.jpg.png,9C2KC1680DR313714
Apto_2023-04-27_04-57-22_2023-04-27_05-43-06,Motor,cropped_866_aa038588-f254-41fb-981b-4151c98758c7.jpg.png,KC16E8D313714
Apto_2023-04-27_05-44-12_2023-04-27_06-40-32,Chassi,cropped_886_624a3c8c-d490-48f6-b564-73d73aab731f.jpg.png,8AJBA3CD4H1583103
Apto_2023-04-27_05-44-12_2023-04-27_06-40-32,Motor,cropped_886_7f9e15bb-c5da-4e0d-bce1-7978f626818b.jpg.png,1GD4180572
Apto_2023-04-27_09-54-47_2023-04-27_12-09-47,Chassi,cropped_951_8aec5495-238c-478a-836d-e4fce46af040.jpg.png,9BWN172S17R715536
Apto_2023-04-27_09-54-47_2023-04-27_12-09-47,Motor,cropped_951_0c202833-a3d0-4967-8fca-954a91ce5df5.jpg.png,G1T099340
Apto_2023-04-27_11-18-07_2023-04-27_12-10-47,Chassi,cropped_979_7ab67e57-ac2d-4ddd-b19f-926b46a33a4e.jpg.png,93KP0E0CXBE127828
Apto_2023-04-27_11-18-07_2023-04-27_12-10-47,Motor,cropped_979_2ac4a30e-0d4a-4d59-8922-0046e7feeec8.jpg.png,F1A057931
Apto_2023-04-27_11-55-56_2023-04-27_12-44-06,Chassi,cropped_986_2dbdff17-ce65-4e56-a243-f1f245ee63aa.jpg.png,9BG148MK0PC421454
Apto_2023-04-27_11-55-56_2023-04-27_12-44-06,Motor,cropped_986_4e62c985-c40e-4658-abce-5c968a82d780.jpg.png,LWNF222431101
Apto_2023-04-27_12-58-03_2023-04-27_13-23-37,Chassi,cropped_996_9610c11a-d6fc-4795-8912-fd6e44a3eadb.jpg.png,9BD341A8CJY487532
Apto_2023-04-27_12-58-03_2023-04-27_13-23-37,Motor,cropped_996_5b169268-d7fa-40b4-a75e-1d5c806373c3.jpg.png,552680237090514
Apto_2023-04-28_04-45-51_2023-04-28_06-16-28,Chassi,cropped_1021_a6c51fce-4846-46f1-b436-e3b8f7346b66.jpg.png,9BM386043LB881079
Apto_2023-04-28_04-45-51_2023-04-28_06-16-28,Motor,cropped_1021_c9c59f94-f286-44ed-89cc-fe6a89da4a59.jpg.png,37695510050012
Apto_2023-04-28_06-29-13_2023-05-04_11-16-56,Chassi,cropped_1057_0b8b1a28-c076-44f9-91cb-f87dc60ccfd8.jpg.png,9BD195162C0335136
Apto_2023-04-28_06-29-13_2023-05-04_11-16-56,Motor,cropped_1057_e2031d19-8e5e-48c8-8f38-5c65b7780d55.jpg.png,310A10110835484
Apto_2023-04-28_09-52-53_2023-04-28_10-34-06,Chassi,cropped_1099_06ffe2f2-44b3-4251-96d5-2ac69a2cab0d.jpg.png,9BD341A5XKY581221
Apto_2023-04-28_09-52-53_2023-04-28_10-34-06,Motor,cropped_1099_bb957116-766f-4edf-8cd9-7e66e2845c4a.jpg.png,552720663358420
Apto_2023-04-28_10-35-38_2023-04-28_10-59-37,Chassi,cropped_1111_56edaebd-b3e0-49a6-b4ed-a76e3059e500.jpg.png,8AJHA3CD9K2073177
Apto_2023-04-28_10-35-38_2023-04-28_10-59-37,Motor,cropped_1111_6e1ae0b3-c715-4a66-856c-5e3a45e28cd2.jpg.png,1GD4529771
Apto_2023-04-28_11-01-34_2023-04-28_12-18-56,Chassi,cropped_1116_5c4a4b01-bf5b-415e-8244-9be10cd71e96.jpg.png,93XHNK7407C628172
Apto_2023-04-28_11-01-34_2023-04-28_12-18-56,Motor,cropped_1116_6b8ef3de-aac8-437d-9f21-97c3fa448ffa.jpg.png,4D56CG5676
Apto_2023-04-28_11-13-49_2023-04-28_12-53-10,Chassi,cropped_1122_53600423-64c9-4856-87ef-f8e450661185.jpg.png,9BFYTNYT5YDB62466
Apto_2023-04-28_11-13-49_2023-04-28_12-53-10,Motor,cropped_1122_603f4784-64d3-46d6-bdba-bd3275d69df3.jpg.png,30462664
Apto_2023-04-28_11-38-29_2023-04-28_12-15-55,Chassi,cropped_1127_5f4291e1-da0d-4346-a5fd-8c19dfecc63d.jpg.png,9C2JC4830KR402409
Apto_2023-04-28_11-38-29_2023-04-28_12-15-55,Motor,cropped_1127_2e875024-e1f7-452b-808b-e442f5139bcf.jpg.png,JC48E3K402434
Apto_2023-04-28_12-20-17_2023-04-28_12-57-20,Chassi,cropped_1135_ada532f4-b5f9-4600-ac69-07844e5bb87b.jpg.png,9BWKB05U5BP192627
Apto_2023-04-28_12-20-17_2023-04-28_12-57-20,Motor,cropped_1135_822e52be-c910-406e-90da-7c2aa4f14091.jpg.png,CCRL08099
Apto_2023-04-28_13-19-48_2023-04-28_13-58-17,Chassi,cropped_1141_df01303b-0cef-4f65-a9d6-550137eedbcc.jpg.png,9BD15804AD6848461
Apto_2023-04-28_13-19-48_2023-04-28_13-58-17,Motor,cropped_1141_ff764288-974f-40e9-8410-2e263559e0e7.jpg.png,146E10111564252
