Pasta,Tipo,Referencia,Motivo
Apto_2023-04-24_13-33-12_2023-04-24_13-54-02,Motor,000000000000,referencia_invalida
Apto_2023-04-26_14-48-55_2023-04-27_03-55-22,Motor,00,referencia_invalida
Apto_2023-04-29_06-14-50_2023-05-04_04-18-14,Motor,00,referencia_invalida
Apto_2023-05-04_04-08-02_2023-05-04_09-45-25,Motor,00,referencia_invalida
Apto_2023-05-10_09-12-02_2023-05-11_10-17-57,Motor,00,referencia_invalida
Apto_2023-05-10_09-15-34_2023-05-11_03-28-38,Motor,00,referencia_invalida
Apto_2023-05-10_11-09-49_2023-05-11_10-09-15,Motor,00,referencia_invalida
Apto_2023-05-10_11-14-09_2023-05-11_10-07-42,Motor,00,referencia_invalida
Apto_2023-05-10_12-55-13_2023-05-11_03-22-33,Motor,00,referencia_invalida
Apto_2023-05-10_13-03-03_2023-05-11_03-25-02,Chassi,9EP310620G1000458/,crop_ausente
Apto_2023-05-10_13-03-03_2023-05-11_03-25-02,Motor,00,referencia_invalida
Apto_2023-05-10_13-05-55_2023-05-11_03-23-43,Motor,00,referencia_invalida
Apto_2023-05-12_11-16-53_2023-05-12_12-23-38,Motor,00,referencia_invalida
Apto_2023-05-19_04-19-23_2023-05-19_10-24-24,Motor,NAO,referencia_invalida
Apto_2023-05-24_04-27-36_2023-05-24_10-51-07,Motor,00,referencia_invalida
Apto_2023-05-24_12-51-41_2023-05-24_14-05-33,Motor,NAO,referencia_invalida
Apto_2023-05-25_05-24-17_2023-05-25_09-44-35,Motor,01234,crop_ausente
Apto_2023-05-26_04-44-18_2023-05-26_05-49-49,Motor,NAO,referencia_invalida
Apto_2023-05-26_12-20-37_2023-05-29_06-13-19,Motor,NAO,referencia_invalida
